Object Number,Object ID,Object Name,Title,Culture,Period,Object Date,Object Begin Date,Object End Date,location,Link Resource
1983.535.65,326818,Stamp seal,Compartmented stamp seal,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326818
11.217.7b,328909,Cuneiform tablet case,"Cuneiform tablet case impressed with cylinder seal, for cuneiform tablet 11.217.7a: record of the account of Bamu",Neo-Sumerian,Ur III,ca. 2048 B.C.,-2048,-2048,Mesopotamia,http://www.metmuseum.org/art/collection/search/328909
81.6.187,245058,Intaglio,Amethyst ring stone,Roman,Imperial,ca. 1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/245058
74.51.5820,244696,Beaker or cup,Glass beaker,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/244696
57.27.56,324649,Vessel,Vessel,Seleucid,Seleucid,mid 3rd--mid 2nd century B.C.,-250,-140,Mesopotamia,http://www.metmuseum.org/art/collection/search/324649
1999.325.19,327615,Cylinder seal,Cylinder seal,Babylonian,Old Babylonian,ca. early 2nd millennium B.C.,-2000,-1000,Mesopotamia,http://www.metmuseum.org/art/collection/search/327615
91.1.1877,257100,"Fragment, striped mosaic bowl",Glass striped mosaic bowl fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257100
07.232.4,247621,Chisel,Bronze chisel,Minoan,Early Minoan II-III,ca. 2900--2200 B.C.,-2900,-2200,Crete,http://www.metmuseum.org/art/collection/search/247621
25.78.21,251807,Ornament,Glass ornament,"Helladic, Mycenaean",Late Helladic III,ca. 1370--1200 B.C.,-1370,-1200,Greece,http://www.metmuseum.org/art/collection/search/251807
74.51.2402,241956,"Statue base, inscribed",Limestone plinth with the feet of a statue of Zeus,Cypriot,Roman,2nd or 3rd century A.D.,101,300,Cyprus,http://www.metmuseum.org/art/collection/search/241956
81.6.155,245026,Intaglio,Carnelian ring stone,Roman,Late Republican or Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/245026
31.11.15,253353,Mold of ancient casts for metal reliefs,Circular plaster relief,Roman,Early Imperial,1st century A.D.,1,100,Italy,http://www.metmuseum.org/art/collection/search/253353
91.1.1995,257195,"Fragment, gold-band mosaic",Glass gold-band mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257195
74.51.4001,243414,Earring-hook type with discs of thin foil,Gold earring with convex disk and small disk,Roman,Imperial,1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/243414
08.170.81,248034,Denarius,Silver denarius of Brutus,Roman,Late Republican,54 B.C.,-54,-54,Italy,http://www.metmuseum.org/art/collection/search/248034
1999.221,256925,Pendant,Gold and enamel pendant with Mistress of Animals,Greek,Archaic,7th century B.C.,-699,-600,Greece,http://www.metmuseum.org/art/collection/search/256925
26.60.91,252555,Mosaic of a mask,Mosaic of a mask,Roman,Early Imperial,ca. 1st--2nd century A.D.,1,200,Italy,http://www.metmuseum.org/art/collection/search/252555
91.1.1882,245589,"Fragment, mosaic",Glass mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/245589
06.1021.219,247382,Skyphos,Skyphos,"Greek, South Italian, Campanian",Late Classical,ca. 350--320 B.C.,-350,-320,Italy,http://www.metmuseum.org/art/collection/search/247382
1983.535.6,326759,Jar,Jar,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326759
11.212.42,248623,Oinochoe,Terracotta miniature oinochoe (jug),"Greek, South Italian, Apulian",Early Hellenistic,ca. 325--300 B.C.,-325,-300,Italy,http://www.metmuseum.org/art/collection/search/248623
98.11.1,246763,"Horse bit, wheels",Bronze bit,Near Eastern or Greek,Iron Age,early 1st millennium B.C.,-1000,-800,Greece,http://www.metmuseum.org/art/collection/search/246763
26.211.7,252876,Vase fragment,Vase fragment,East Greek,Archaic,7th century B.C.,-700,-600,Turkey,http://www.metmuseum.org/art/collection/search/252876
6.1114,247532,Statuette of a woman,"Terracotta statuette of a draped, standing woman","Greek, Boeotian",Hellenistic,3rd century B.C.,-299,-200,Greece,http://www.metmuseum.org/art/collection/search/247532
21.88.123,257719,Cuirass fittings,"Bronze elliptical leaf, perhaps a waist ornament","Etrucan, Vulci",Classical,5th century B.C.,-499,-400,Italy,http://www.metmuseum.org/art/collection/search/257719
X.21.28,256608,Mug,Mug,"Greek, Attic",Archaic,late 6th century B.C.,-530,-500,Greece,http://www.metmuseum.org/art/collection/search/256608
51.178,324196,Handle,Handle,Roman,Roman,ca. 1st century B.C.--1st century A.D. ,-100,100,Italy,http://www.metmuseum.org/art/collection/search/324196
98.8.28,246740,Head of Medusa,Terracotta relief plaque with head of Medusa,Greek,Hellenistic,2nd century B.C.,-199,-100,Greece,http://www.metmuseum.org/art/collection/search/246740
17.194.388a--c,249624,Mosaic block inlay,Glass mosaic inlay fragments,Roman,Early Imperial,late 1st century B.C.--1st century A.D.,-30,99,Italy,http://www.metmuseum.org/art/collection/search/249624
76.12.15,244866,Skyphos,Skyphos,"Greek, South Italian, Apulian",Late Classical,ca. 325--300 B.C.,-325,-300,Italy,http://www.metmuseum.org/art/collection/search/244866
74.51.1086,240673,Amphora,Amphora,Cypriot,Bronze Age,ca. 3200--1050 B.C.,-3200,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240673
2012.477.8,256438,Askos,Terracotta askos (flask with a spout and handle over the top),"Greek, South Italian, Campanian",Late Classical,4th century B.C.,-399,-300,Italy,http://www.metmuseum.org/art/collection/search/256438
81.6.181,245052,Intaglio,Intaglio,Roman,Late Republican or Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/245052
25.235.2,251943,"Glass fragment, painted",Glass fragment with painted decoration,Roman,Late Imperial,4th century A.D.,300,399,Italy,http://www.metmuseum.org/art/collection/search/251943
1999.325.104,327700,Cylinder seal,"Cylinder seal and modern impression: two horned animals, rosettes",Proto-Elamite,Proto-Elamite,ca. 3100--2900 B.C.,-3100,-2900,Southwestern Iran,http://www.metmuseum.org/art/collection/search/327700
86.11.288,321912,Cuneiform tablet,"Cuneiform tablet: collection of ershemmas (nos. 45, 59, 53)",Seleucid or Parthian,Seleucid or Parthian,ca. late 4th century B.C.--early 3rd century A.D. ,-330,220,Mesopotamia,http://www.metmuseum.org/art/collection/search/321912
74.51.2816,242367,Head of a man,Limestone head of a beardless male votary with a wreath of rosettes,Cypriot,Archaic,last quarter of the 6th century B.C.,-525,-501,Cyprus,http://www.metmuseum.org/art/collection/search/242367
74.51.5126,244006,Bowl,Fragmentary alabaster stemmed bowl,Cypriot,Late Bronze Age,1600--1200 B.C.,-1600,-1200,Cyprus,http://www.metmuseum.org/art/collection/search/244006
1983.535.64,326817,Stamp seal,Compartmented stamp seal,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326817
37.143.12a--n,323593,Furniture elements,Furniture plaques,Old Assyrian Trading Colony,Middle Bronze Age--Old Assyrian Trading Colony,ca. 18th century B.C.,-1800,-1700,Anatolia,http://www.metmuseum.org/art/collection/search/323593
17.230.7,250545,Amphora,Terracotta amphora (jar),"Greek, Attic",Archaic,ca. 530--520 B.C.,-530,-520,Greece,http://www.metmuseum.org/art/collection/search/250545
1974.288,326161,Cylinder seal,Cylinder seal,Assyrian or Babylonian,Neo-Assyrian or Neo-Babylonian,ca. 8th--7th century B.C.,-800,-600,Mesopotamia,http://www.metmuseum.org/art/collection/search/326161
81.10.75,245232,"Bowl, Rippenschale",Glass ribbed bowl,Roman,Early Imperial,mid-1st century A.D.,25,75,Italy,http://www.metmuseum.org/art/collection/search/245232
23.73.4,251274,Statuette of a woman,Terracotta statuette of a draped woman,"Greek, Boeotian",Hellenistic,3rd century B.C.,-299,-200,Greece,http://www.metmuseum.org/art/collection/search/251274
16.174.33,249124,Cup,Cup,Etruscan,Archaic,ca. 550--540 B.C.,-555,-545,Italy,http://www.metmuseum.org/art/collection/search/249124
81.10.161,245316,Astragal,Glass astragalus (knucklebone),Roman,Early Imperial,ca. 1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/245316
2013.1104.4,632258,Box of a pyxis,Terracotta box of a pyxis (small box),Cycladic,Early Cycladic I,ca. 3000--2800 B.C.,-3000,-2500,Greece,http://www.metmuseum.org/art/collection/search/632258
41.160.485,253713,Scarab,Carnelian scarab,Etruscan,Hellenistic,ca. 325--200 B.C.,-325,-200,Italy,http://www.metmuseum.org/art/collection/search/253713
74.51.5054,243934,Shallow bowl or palette,Basalt mortar or plate,Cypriot,Late Bronze Age,ca. 1600--1050 B.C.,-1600,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/243934
1999.325.60,327656,Cylinder seal,Cylinder seal,Babylonian,late Old Babylonian,ca. first half 2nd millennium B.C.,-2000,-1000,Mesopotamia,http://www.metmuseum.org/art/collection/search/327656
74.51.1823,241378,"Lamp, concave top",Terracotta lamp,"Roman, Cypriot",Early Imperial,1st century B.C.--1st century A.D.,-99,99,Cyprus,http://www.metmuseum.org/art/collection/search/241378
23.160.6,251350,Portrait bust of a woman,Marble portrait of a young woman,Roman,Antonine,150--175 A.D.,150,150,Italy,http://www.metmuseum.org/art/collection/search/251350
59.48.13,255033,Statuette of a woman,Statuette of a woman,"Greek, Cretan ?",Late Classical,4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/255033
81.10.27,245184,Jug,Glass jug,Roman,Early to Mid Imperial,1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/245184
30.118.53,253184,Skyphos,Skyphos,"Greek, Attic",Geometric,8th century B.C.,-799,-700,Greece,http://www.metmuseum.org/art/collection/search/253184
74.51.2610,242161,"Statue of a satyr, fragmentary",Fragment of a limestone statuette of a silen (?),Cypriot,Archaic,first half of the 5th century B.C.,-500,-450,Cyprus,http://www.metmuseum.org/art/collection/search/242161
26.31.509,252429,Pendant in the form of a leaf,Gold leaf,Minoan,Early Minoan II--III,ca. 2300--2100 B.C.,-2999,-2000,Crete,http://www.metmuseum.org/art/collection/search/252429
1983.535.105,326844,Stamp seal,Openwork stamp seal,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326844
95.16.7,246086,Necklace fragment,Necklace fragment,Greek or Roman,Early Imperial,1st century A.D.,1,99,Greece,http://www.metmuseum.org/art/collection/search/246086
41.162.169,254340,Squat lekythos,Terracotta squat lekythos (oil flask),"Greek, Attic",Classical,ca. 470--460 B.C.,-470,-460,Greece,http://www.metmuseum.org/art/collection/search/254340
96.9.362,246373,"Fibula, serpentine type",Bronze serpentine-disc type fibula (safety pin),Villanovan,Geometric,9th century B.C.,-899,-800,Italy,http://www.metmuseum.org/art/collection/search/246373
74.51.1246,240833,Bowl,Bowl,Cypriot,Bronze Age,ca. 3200--1050 B.C.,-3200,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240833
74.51.5715,244591,Perfume bottle,Glass perfume bottle,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/244591
11.186.11,248512,"Cup, one-handled",Terracotta straight-sided cup,Minoan,Middle Minoan IIIA,ca. 1750--1700 B.C.,-1750,-1700,Crete,http://www.metmuseum.org/art/collection/search/248512
1984.313.1,255812,"Kylix, band-cup fragment",Fragment of a terracotta kylix: band-cup (drinking cup),"Greek, Attic",Archaic,ca. 550--540 B.C.,-550,-540,Greece,http://www.metmuseum.org/art/collection/search/255812
1982.330.2,255767,"Plate, Genucilia","Plate, Genucilia",Etruscan,Classical,4th century B.C.,-399,-300,Italy,http://www.metmuseum.org/art/collection/search/255767
56.171.33,254891,Lekythos,Terracotta lekythos (oil flask),"Greek, Attic",Archaic,ca. 515 B.C.,-515,-515,Greece,http://www.metmuseum.org/art/collection/search/254891
24.195.147,251713,"Ornaments, 14",Lead ornament,"Greek, Laconian",Archaic,6th--5th century B.C.,-599,-400,Greece,http://www.metmuseum.org/art/collection/search/251713
24.195.78,251644,"Statuette of a warrior, 11",Lead figure of a warrior with a spear and shield,"Greek, Laconian",Archaic,6th--5th century B.C.,-599,-400,Greece,http://www.metmuseum.org/art/collection/search/251644
74.51.5434,244313,Tweezers,Tweezers,Cypriot,Early Bronze Age,ca. 3200--2000 B.C.,-3200,-2000,Cyprus,http://www.metmuseum.org/art/collection/search/244313
26.60.30,252497,Head of a woman,Head of a marble kore,Greek,Archaic,6th century B.C.,-6,-6,Greece,http://www.metmuseum.org/art/collection/search/252497
15.43.207,248968,"Beaker, conical",Glass beaker,Roman,Early Imperial,ca. A.D. 40--100,40,100,Italy,http://www.metmuseum.org/art/collection/search/248968
1991.368.1,327455,Cylinder seal,Cylinder seal and modern impression: worshiper and the sun god; king; bull-man and a lion-man,Babylonian,Old Babylonian,ca. 18th century B.C.,-1800,-1700,Mesopotamia or Syria,http://www.metmuseum.org/art/collection/search/327455
07.232.102,247728,Vase fragment,Vase fragment,Minoan,Late Minoan I,ca. 1600--1450 B.C.,-1600,-1450,Crete,http://www.metmuseum.org/art/collection/search/247728
"23.160.61a, b",251403,Pyxis with Erotes,Ivory pyxis (box with lid),Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/251403
74.51.5151,244031,Fire shovel handle,Limestone handle of a patera or a fire shovel ending in a ram's head,Cypriot,Classical ?,5th century B.C. ?,-500,-401,Cyprus,http://www.metmuseum.org/art/collection/search/244031
74.57.13,244794,Jug,Jug,Cypriot,Cypro-Archaic I,750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/244794
74.51.3128,242562,Earring with head of bull,Gold pendant in the form of a bull's head,Cypriot,Late Bronze Age,ca. 1400--1050 B.C.,-1400,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/242562
28.168.1,252977,Head of a woman,Head of a woman,"Greek, Asia Minor",Hellenistic,3rd--2nd century B.C.,-299,-100,Greece,http://www.metmuseum.org/art/collection/search/252977
"17.230.31a, b",250565,Furniture attachments for table or couch,Bronze furniture attachments with silver inlay,Greek or Roman,Late Hellenistic or Early Imperial,1st century B.C.--early 1st century A.D.,-100,50,Greece,http://www.metmuseum.org/art/collection/search/250565
64.3,255178,Lekythos,Terracotta lekythos (oil flask),"Greek, Attic",Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/255178
11.186.31,248532,Vase fragment,Terracotta vase fragment with floral ornament and bands,Minoan,Middle Minoan II,ca. 1800--1700 B.C.,-1800,-1700,Crete,http://www.metmuseum.org/art/collection/search/248532
89.2.553,322135,Sculpture,Forepart of a leopard,Parthian,Parthian,ca. 3rd century B.C.--3rd century A.D.,-300,300,Iran,http://www.metmuseum.org/art/collection/search/322135
06.1021.280,247445,Bowl,Terracotta bowl,Roman,"Early Imperial, Augustan",ca. A.D. 1--10,1,10,Italy,http://www.metmuseum.org/art/collection/search/247445
74.51.4505,243773,"Amulet, hare",Faience amulet in the form of a hare,Egyptian,Late Dynastic--Hellenistic,664--30 B.C.,-664,-30,Egypt,http://www.metmuseum.org/art/collection/search/243773
11.212.15,248596,Statuette of an old woman,Fragment of a terracotta statuette of an old woman,"Greek, South Italian, Tarentine",Classical,4th--3rd century B.C.,-399,-200,Italy,http://www.metmuseum.org/art/collection/search/248596
86.11.62,321678,Cuneiform tablet,Cuneiform tablet: Old Babylonian balag to the mother goddess Aruru,Babylonian,Old Babylonian,ca. 19th--16th century B.C.,-1900,-1500,Mesopotamia,http://www.metmuseum.org/art/collection/search/321678
41.162.145,254317,Lekythos,Terracotta lekythos (oil flask),"Greek, Attic",Classical,2nd quarter of 5th century B.C.,-475,-450,Greece,http://www.metmuseum.org/art/collection/search/254317
41.162.240,254411,Lekythos,Lekythos,"Greek, Attic",Classical,ca. 480 B.C.,-480,-480,Greece,http://www.metmuseum.org/art/collection/search/254411
74.51.2661,242212,Statuette of Herakles,Limestone statuette of Herakles as an archer,Cypriot,Archaic,middle or 3rd quarter of the 6th century B.C.,-560,-525,Cyprus,http://www.metmuseum.org/art/collection/search/242212
74.51.2676,242227,Statue fragment,Fragment of an male limestone votary with an Egyptianizing kilt,Cypriot,Archaic,first half of the 6th century B.C.,-600,-550,Cyprus,http://www.metmuseum.org/art/collection/search/242227
24.195.184,251750,Bar,Iron bar,"Greek, Laconian",Archaic ?,7th--5th century B.C. ?,-699,-400,Greece,http://www.metmuseum.org/art/collection/search/251750
07.286.26,247906,Statuette of a boy,Statuette of a boy,"Greek, Boeotian",Hellenistic,3rd century B.C.,-299,-200,Greece,http://www.metmuseum.org/art/collection/search/247906
